zipcode,year,month,volume
10312.0,2019,2,6781
10312.0,2020,11,105137
10312.0,2023,5,13185
10314.0,2009,3,110
10314.0,2009,4,46956
10314.0,2009,7,43911
10314.0,2010,6,450
10314.0,2011,3,96574
10314.0,2011,6,834
10314.0,2011,7,282
10314.0,2011,10,2935
10314.0,2012,1,114
10314.0,2012,5,91638
10314.0,2012,9,4981
10314.0,2013,2,7804
10314.0,2013,3,18828
10314.0,2015,7,1966
10314.0,2015,12,521
10314.0,2016,5,102349
10314.0,2016,8,71388
10314.0,2016,9,27687
10314.0,2016,10,58958
10314.0,2019,9,118663
10314.0,2020,10,14436
10314.0,2021,3,64365
10314.0,2022,9,18541
10314.0,2023,4,32
10314.0,2023,9,40135
10314.0,2023,10,11855
10451.0,2009,4,12102
10451.0,2011,3,8772
10451.0,2011,4,3144
10451.0,2013,3,6351
10451.0,2014,9,147458
10451.0,2015,3,580
10451.0,2015,6,2135
10451.0,2015,11,17958
10451.0,2016,1,65914
10451.0,2016,9,55565
10451.0,2017,10,38312
10451.0,2017,11,1221
10451.0,2018,10,80451
10451.0,2023,10,38935
10452.0,2009,9,1661
10452.0,2011,4,134
10452.0,2011,5,56523
10452.0,2011,6,3852
10452.0,2015,1,0
10452.0,2017,6,55194
10452.0,2021,7,3454
10453.0,2015,9,316681
10453.0,2015,11,6179
10453.0,2023,3,79811
10454.0,2010,9,1747
10454.0,2015,1,18426
10454.0,2017,9,19658
10454.0,2018,3,25202
10454.0,2021,8,9231
10454.0,2022,7,1738
10454.0,2022,8,4052
10454.0,2023,10,15609
10455.0,2011,4,13378
10455.0,2014,6,33444
10455.0,2014,9,39526
10455.0,2016,1,25804
10455.0,2016,11,119987
10455.0,2020,10,2543
10455.0,2021,7,3813
10455.0,2021,8,24229
10456.0,2014,9,34956
10456.0,2014,10,39401
10456.0,2015,2,5230
10456.0,2015,6,153946
10456.0,2016,1,30326
10456.0,2016,9,2221
10456.0,2017,10,177111
10456.0,2017,11,18568
10456.0,2023,6,11229
10457.0,2009,4,225
10457.0,2011,6,26996
10457.0,2012,2,20547
10457.0,2016,9,2340
10457.0,2023,3,121151
10458.0,2012,10,39742
10458.0,2015,3,4829
10458.0,2016,5,37691
10458.0,2017,11,525
10458.0,2018,1,78297
10458.0,2021,9,6070
10458.0,2021,10,223
10458.0,2021,11,18993
10458.0,2022,2,188952
10458.0,2022,3,27756
10458.0,2023,6,67207
10458.0,2024,2,40174
10458.0,2024,3,6887
10459.0,2008,4,27157
10459.0,2010,2,277
10459.0,2010,6,10681
10459.0,2010,12,10784
10459.0,2011,2,17746
10459.0,2011,4,17086
10459.0,2011,5,7211
10459.0,2011,6,1887
10459.0,2011,10,6463
10459.0,2012,4,2925
10459.0,2013,1,124
10459.0,2013,3,104863
10459.0,2013,4,16457
10459.0,2014,3,126825
10459.0,2014,4,335913
10459.0,2015,1,6897
10459.0,2015,3,33122
10459.0,2016,1,23340
10459.0,2016,2,54267
10459.0,2016,3,574
10459.0,2017,3,26297
10459.0,2017,10,10606
10459.0,2017,11,28788
10459.0,2022,3,29378
10459.0,2022,4,36213
10459.0,2022,9,224685
10460.0,2008,4,116127
10460.0,2010,12,37455
10460.0,2011,2,8516
10460.0,2011,5,64500
10460.0,2011,6,4096
10460.0,2012,4,1406
10460.0,2013,1,76324
10460.0,2013,2,106954
10460.0,2013,3,107794
10460.0,2013,4,10518
10460.0,2014,3,112391
10460.0,2014,9,24304
10460.0,2014,11,338079
10460.0,2015,3,58449
10460.0,2017,4,63637
10460.0,2017,11,57236
10460.0,2018,3,25634
10460.0,2019,1,77681
10460.0,2021,8,85
10460.0,2022,4,26234
10460.0,2022,9,156690
10460.0,2023,3,233164
10460.0,2023,6,2361
10461.0,2008,4,36182
10461.0,2009,3,7075
10461.0,2010,2,151012
10461.0,2010,12,30134
10461.0,2011,2,696
10461.0,2011,3,8932
10461.0,2013,11,154
10461.0,2014,8,54863
10461.0,2014,11,745749
10461.0,2015,12,11910
10461.0,2016,3,72
10461.0,2017,11,94251
10461.0,2021,9,205024
10461.0,2021,10,22206
10461.0,2024,3,3200
10462.0,2014,3,3209
10462.0,2015,3,43005
10462.0,2015,7,100
10462.0,2017,2,1713
10462.0,2017,11,2390
10463.0,2012,1,146362
10463.0,2012,10,114872
10463.0,2013,11,4700
10463.0,2016,2,28635
10463.0,2016,7,106420
10463.0,2018,1,25450
10463.0,2019,2,72134
10463.0,2019,3,87284
10464.0,2008,5,221478
10464.0,2008,6,1454357
10464.0,2010,5,6930
10464.0,2010,6,0
10464.0,2011,4,116856
10464.0,2012,5,45414
10464.0,2012,6,493071
10464.0,2013,5,804871
10464.0,2013,6,140418
10464.0,2015,5,778751
10464.0,2017,5,15055
10464.0,2017,6,595
10465.0,2013,10,93644
10465.0,2013,11,8344
10465.0,2017,4,449
10465.0,2020,10,15015
10465.0,2021,7,2382
10466.0,2008,4,141329
10466.0,2010,6,45332
10466.0,2010,10,558
10466.0,2010,11,30290
10466.0,2012,4,1600
10466.0,2012,5,9067
10466.0,2014,3,228
10466.0,2014,10,1787
10466.0,2014,11,4109
10466.0,2016,3,1304
10466.0,2017,4,8317
10466.0,2021,3,81
10466.0,2021,6,439
10467.0,2009,5,96061
10467.0,2009,10,498
10467.0,2013,5,22928
10467.0,2013,6,593
10467.0,2014,5,104434
10467.0,2018,1,15373
10467.0,2018,4,99431
10467.0,2019,9,44387
10467.0,2020,3,1712
10467.0,2021,3,71
10468.0,2009,4,6607
10468.0,2010,10,13863
10468.0,2010,11,59182
10468.0,2012,2,446
10468.0,2014,6,41849
10468.0,2017,2,13913
10468.0,2017,11,2582
10468.0,2022,2,22922
10469.0,2009,3,48525
10469.0,2009,4,69001
10469.0,2009,12,64347
10469.0,2010,2,2
10469.0,2015,9,2917
10469.0,2016,11,6585
10469.0,2017,12,336
10469.0,2022,6,54637
10470.0,2007,5,462755
10470.0,2008,4,259375
10470.0,2008,5,674106
10470.0,2010,3,19775
10470.0,2010,4,22638
10470.0,2010,9,3306
10470.0,2013,3,19022
10470.0,2013,4,2761
10470.0,2013,5,548
10470.0,2014,3,83916
10470.0,2015,5,537842
10470.0,2015,6,110031
10470.0,2016,7,65
10470.0,2016,8,15267
10470.0,2017,5,938055
10470.0,2017,6,140851
10470.0,2018,3,24506
10470.0,2018,4,6758
10470.0,2018,6,502223
10470.0,2019,4,4304
10470.0,2021,4,21149
10470.0,2022,3,26666
10470.0,2022,4,3251
10470.0,2024,3,14668
10471.0,2008,4,256589
10471.0,2008,5,402133
10471.0,2009,11,46
10471.0,2011,3,79108
10471.0,2015,6,28506
10471.0,2016,3,39854
10472.0,2010,2,271
10472.0,2013,6,105
10472.0,2015,3,71575
10472.0,2017,3,4195
10472.0,2017,4,63028
10472.0,2021,6,29491
10472.0,2024,4,59134
10473.0,2008,4,9094
10473.0,2011,6,22246
10473.0,2011,7,40107
10473.0,2012,6,43035
10473.0,2015,3,1743
10473.0,2018,6,125731
10474.0,2008,4,328086
10474.0,2008,5,680270
10474.0,2010,5,149540
10474.0,2011,4,35581
10474.0,2012,6,180108
10474.0,2013,5,558313
10474.0,2013,6,144361
10474.0,2015,6,260573
10474.0,2016,2,39798
10474.0,2016,10,33013
10474.0,2016,11,21150
10474.0,2017,10,92836
10474.0,2017,11,9598
10474.0,2018,3,48393
10474.0,2018,7,13595
10474.0,2018,8,29251
10474.0,2019,12,1739
10475.0,2008,5,289929
10475.0,2010,4,61434
10475.0,2010,9,6203
10475.0,2011,5,36193
10475.0,2011,11,30510
10475.0,2011,12,147888
10475.0,2013,2,20715
10475.0,2014,9,11340
10475.0,2015,2,12054
